printing_house_id	printing_house_name	city_name	publication_title
1	Hermon Matbaası	İstanbul	Kurtuluş Yolu
2	Haşmet Matbaası	İstanbul	Türk Solu
2	Haşmet Matbaası	İstanbul	Kurtuluş Yolu
3	Tur Matbaası	İstanbul	Kurtuluş Yolu
4	Bilmen Matbaası	İstanbul	Tekstil Gazetesi
5	Talat Matbaası	İstanbul	Türk Solu
5	Talat Matbaası	İstanbul	Tekstil Gazetesi
6	Sile Matbaası	İstanbul	Tekstil Gazetesi
7	İş Matbaacılık ve Ticaret	Ankara	Aydınlık Sosyalist Dergi
7	İş Matbaacılık ve Ticaret	Ankara	Proleter Devrimci Aydınlık
7	İş Matbaacılık ve Ticaret	Ankara	Proleter
8	TÖYKO Matbaası	Ankara	Aydınlık Sosyalist Dergi
9	San Matbaası	Ankara	Aydınlık Sosyalist Dergi
10	Baylan Basım ve Ciltevi	Ankara	Aydınlık Sosyalist Dergi
11	TİSA Matbaacılık Sanayii	Ankara	Proleter Devrimci Aydınlık
12	Ulusal Basımevi	Ankara	Proleter Devrimci Aydınlık
12	Ulusal Basımevi	Ankara	DİSK Gazetesi (2)
12	Ulusal Basımevi	Ankara	Proleter
13	İleri Sanat Matbaası	İstanbul	Aylık Ant Dergisi
14	Osmanbey Matbaası	İstanbul	Aylık Ant Dergisi
15	Dilek Matbaası	İstanbul	Devrimci TİP Haberleri
16	Vatan Gazetecilik ve Matbaacılık İşletmeciliği	İstanbul	Haftalık Ant Dergisi
16	Vatan Gazetecilik ve Matbaacılık İşletmeciliği	İstanbul	DİSK Gazetesi
17	Sebat Matbaası	Malatya	Haşhaş
18	Tan Matbaası	İstanbul	Haftalık Ant Dergisi
19	Uğur Basımevi	Ordu	Ezilenler
20	Yeşil Fatsa Matbaası	Fatsa	Ezilenler
21	Not specified		İleri
21	Not specified		FKF Mektubu
22	Şenyuva Matbaası	Ankara	İleri
23	Güzel İstanbul Matbaası	İstanbul	Türk Solu
24	Son Telgraf Matbaası	İstanbul	Türk Solu
25	Yüksel Matbaası	İstanbul	Türk Solu
26	Ulusoğlu Matbaası	Ankara	Kavga
27	Yağaç Matbaası		Proleter
28	Ser Matbaası		Proleter
29	Acar Matbaası	İstanbul	Yeni Gerçek
