publication_id	publication_title	publication_location	publication_type	life_span	first_year	last_year	total_issues
2	Aydınlık Sosyalist Dergi	Ankara	monthly	4 years	1968	1971	29
1	Aylık Ant Dergisi	İstanbul	monthly	2 years	1970	1971	13
16	Devrimci TİP Haberleri	İstanbul	monthly	1 year	1969	1969	5
26	Durum		bi-weekly	14 years	1969	1982	231
7	DİSK Gazetesi	İstanbul	monthly	2 years	1967	1968	5
8	DİSK Gazetesi (2)	Ankara	monthly	1 year	1970	1970	4
27	Ekmek	İstanbul	bi-weekly	1 year	1969	1969	3
28	Emek	Ankara	weekly				0
43	Emek (2)	Ankara	monthly	2 years	1970	1971	12
20	Ezilenler	Tunceli	bi-weekly	2 years	1968	1969	8
22	FKF Mektubu	Ankara	weekly	1 year	1968	1968	2
21	Fakirin Dostu	İstanbul	bi-weekly	1 year	1969	1969	4
29	Gençlik	Ankara	monthly	2 years	1969	1970	9
4	Haftalık Ant Dergisi	İstanbul	weekly	4 years	1967	1970	174
13	Haşhaş	Ören	bi-weekly	1 year	1968	1968	5
32	Kardaş	London	monthly	1 year	1970	1970	16
33	Katkı	İstanbul	monthly	11 years	1970	1980	35
10	Kavga	Ankara	bi-weekly	1 year	1967	1967	7
25	Kimya-İş	İstanbul	weekly	8 years	1968	1975	54
36	Kurtuluş	Ankara	monthly	2 years	1970	1971	9
6	Kurtuluş Yolu	İstanbul	bi-weekly	3 years	1968	1970	17
34	Köylü	Ankara	bi-weekly	1 year	1969	1969	4
35	Köylü Birliği	Ankara	bi-weekly	1 year	1969	1969	2
38	Parti Gazetesi	Ankara	bi-weekly	1 year	1971	1971	9
39	Partizan	İstanbul	monthly	1 year	1970	1970	6
11	Proleter	Adana	monthly	3 years	1967	1969	13
3	Proleter Devrimci Aydınlık	Ankara	monthly	2 years	1970	1971	26
14	Sosyalist	İstanbul	bi-weekly	5 years	1967	1971	26
40	Sosyalist Parti	Ankara	monthly	2 years	1970	1971	5
15	Sömürücüye Yumruk	Zonguldak	bi-weekly	5 years	1967	1971	34
19	Tekstil Gazetesi	İstanbul	bi-weekly	4 years	1968	1971	57
23	Tüm	Ankara	weekly	2 years	1968	1969	4
5	Türk Solu	Ankara	weekly	4 years	1967	1970	126
41	Türkiye Defteri	İstanbul	monthly	5 years	1971	1975	20
42	Türkiye Solu	İstanbul	bi-weekly	1 year	1971	1971	2
17	TİP Haberleri	Ankara	bi-weekly	3 years	1967	1969	32
12	Yeni Gerçek	İstanbul	monthly	2 years	1967	1968	9
37	Öncü İşçi	Ankara	bi-weekly	1 year	1971	1971	5
24	Örgüt	İstanbul	bi-weekly	1 year	1968	1968	1
9	İleri	Ankara	monthly	2 years	1968	1969	6
18	İstanbul Tekstil İşçilerinin Sesi	İstanbul	bi-weekly	2 years	1967	1968	21
30	İşçi Birliği	Ankara	bi-weekly	1 year	1969	1969	6
31	İşçi Köylü	İstanbul	bi-weekly	2 years	1969	1970	16
